,metanetx.chemical
glyc3p_c,metanetx.chemical:MNXM66
glu5sa_c,metanetx.chemical:MNXM245
1pyr5c_c,metanetx.chemical:MNXM301
glu5p_c,metanetx.chemical:MNXM1280
6pgl_c,metanetx.chemical:MNXM429
galct-D_c,metanetx.chemical:MNXM1080
5dh4dglc_c,metanetx.chemical:MNXM854
galctn-D_c,metanetx.chemical:MNXM1734
gal_c,metanetx.chemical:MNXM390
gal1p_c,metanetx.chemical:MNXM336
melib_c,metanetx.chemical:MNXM1434
udpg_c,metanetx.chemical:MNXM52
13dpg_c,metanetx.chemical:MNXM261
gar_c,metanetx.chemical:MNXM463
fgam_c,metanetx.chemical:MNXM453
glyclt_c,metanetx.chemical:MNXM222
gdpddman_c,metanetx.chemical:MNXM516
gdpofuc_c,metanetx.chemical:MNXM7371
ser-L_c,metanetx.chemical:MNXM53
gly_c,metanetx.chemical:MNXM29
mlthf_c,metanetx.chemical:MNXM183
glycogen_c,metanetx.chemical:MNXM55366
2h3oppan_c,metanetx.chemical:MNXM475
glcr_c,metanetx.chemical:MNXM744
adpglc_c,metanetx.chemical:MNXM561
galt1p_c,metanetx.chemical:MNXM1667
tag6p-D_c,metanetx.chemical:MNXM795
glucys_c,metanetx.chemical:MNXM412
pram_c,metanetx.chemical:MNXM89814
glu-D_c,metanetx.chemical:MNXM331
glutrna_c,metanetx.chemical:MNXM89752
trnaglu_c,metanetx.chemical:MNXM11683
glx_c,metanetx.chemical:MNXM69
2aobut_c,metanetx.chemical:MNXM815
glyc-R_c,metanetx.chemical:MNXM189
3pg_c,metanetx.chemical:MNXM126
lgt-S_c,metanetx.chemical:MNXM1253
gthrd_c,metanetx.chemical:MNXM57
lac-D_c,metanetx.chemical:MNXM285
gdpmann_c,metanetx.chemical:MNXM82
gmhep1p_c,metanetx.chemical:MNXM1661
gmhep7p_c,metanetx.chemical:MNXM17115
gmhep17bp_c,metanetx.chemical:MNXM1736
xmp_c,metanetx.chemical:MNXM89160
gdpfuc_c,metanetx.chemical:MNXM89624
gp4g_c,metanetx.chemical:MNXM1582
g3pc_c,metanetx.chemical:MNXM367
chol_c,metanetx.chemical:MNXM90
g3pe_c,metanetx.chemical:MNXM368
g3ps_c,metanetx.chemical:MNXM6280
g3pg_c,metanetx.chemical:MNXM598
g3pi_c,metanetx.chemical:MNXM1517
inost_c,metanetx.chemical:MNXM127
frdp_c,metanetx.chemical:MNXM34
gsn_c,metanetx.chemical:MNXM401
gtspmd_c,metanetx.chemical:MNXM1329
spmd_c,metanetx.chemical:MNXM124
gthox_c,metanetx.chemical:MNXM151
gua_c,metanetx.chemical:MNXM259
xan_c,metanetx.chemical:MNXM174
glcur_c,metanetx.chemical:MNXM241
fruur_c,metanetx.chemical:MNXM1660
galur_c,metanetx.chemical:MNXM11275
tagur_c,metanetx.chemical:MNXM1423
3ophb_c,metanetx.chemical:MNXM2195
hemeO_c,metanetx.chemical:MNXM1278
4mhetz_c,metanetx.chemical:MNXM962
4mpetz_c,metanetx.chemical:MNXM960
histd_c,metanetx.chemical:MNXM1281
his-L_c,metanetx.chemical:MNXM134
hisp_c,metanetx.chemical:MNXM1482
hkndd_c,metanetx.chemical:MNXM1693
op4en_c,metanetx.chemical:MNXM9829
ppbng_c,metanetx.chemical:MNXM554
hmbil_c,metanetx.chemical:MNXM547
4ahmmp_c,metanetx.chemical:MNXM874
4h2opntn_c,metanetx.chemical:MNXM1176
hpyr_c,metanetx.chemical:MNXM392
hom-L_c,metanetx.chemical:MNXM353
phom_c,metanetx.chemical:MNXM1334
suchms_c,metanetx.chemical:MNXM820
imacp_c,metanetx.chemical:MNXM1456
pydam_c,metanetx.chemical:MNXM548
ichor_c,metanetx.chemical:MNXM799
prlp_c,metanetx.chemical:MNXM1408
eig3p_c,metanetx.chemical:MNXM1422
2cpr5p_c,metanetx.chemical:MNXM1455
3ig3p_c,metanetx.chemical:MNXM866
ile-L_c,metanetx.chemical:MNXM231
3c2hmp_c,metanetx.chemical:MNXM891
3c4mop_c,metanetx.chemical:MNXM1602
2ippm_c,metanetx.chemical:MNXM1706
3c3hmp_c,metanetx.chemical:MNXM985
3hmrsACP_c,metanetx.chemical:MNXM1298
kdo_c,metanetx.chemical:MNXM989
ckdo_c,metanetx.chemical:MNXM535
kdo8p_c,metanetx.chemical:MNXM1647
3dhgulnp_c,metanetx.chemical:MNXM1170
xu5p-L_c,metanetx.chemical:MNXM1238
lcts_c,metanetx.chemical:MNXM362
lac-L_c,metanetx.chemical:MNXM179
12ppd-S_c,metanetx.chemical:MNXM1255
4mop_c,metanetx.chemical:MNXM404
leu-L_c,metanetx.chemical:MNXM140
mthgxl_c,metanetx.chemical:MNXM310
lipidX_c,metanetx.chemical:MNXM1839
u23ga_c,metanetx.chemical:MNXM1199
lipidAds_c,metanetx.chemical:MNXM1569
agpgEC_c,metanetx.chemical:MNXM4433
agpeEC_c,metanetx.chemical:MNXM4432
agpcEC_c,metanetx.chemical:MNXM4432
apgEC_c,metanetx.chemical:MNXM5599
cdpea_c,metanetx.chemical:MNXM449
lpsEC_c,metanetx.chemical:MNXM7492
15dap_c,metanetx.chemical:MNXM943
mnl1p_c,metanetx.chemical:MNXM90126
man1p_c,metanetx.chemical:MNXM836
man6p_c,metanetx.chemical:MNXM40579
mana_c,metanetx.chemical:MNXM1045
2mcit_c,metanetx.chemical:MNXM1030
2mcacn_c,metanetx.chemical:MNXM1792
micit_c,metanetx.chemical:MNXM1694
5mdru1p_c,metanetx.chemical:MNXM522
2mecdp_c,metanetx.chemical:MNXM1168
met-L_c,metanetx.chemical:MNXM61
5mthf_c,metanetx.chemical:MNXM318
mi1p-D_c,metanetx.chemical:MNXM646
mmcoa-S_c,metanetx.chemical:MNXM81312
mmcoa-R_c,metanetx.chemical:MNXM608
lipidA_c,metanetx.chemical:MNXM1569
kdolipid4_c,metanetx.chemical:MNXM1206
5mta_c,metanetx.chemical:MNXM150
5mtr_c,metanetx.chemical:MNXM722742
methf_c,metanetx.chemical:MNXM511
5mdr1p_c,metanetx.chemical:MNXM407
nmn_c,metanetx.chemical:MNXM355
h2o_e,metanetx.chemical:MNXM2
nad_e,metanetx.chemical:MNXM8
amp_e,metanetx.chemical:MNXM14
nmn_e,metanetx.chemical:MNXM355
dnad_c,metanetx.chemical:MNXM309
nac_c,metanetx.chemical:MNXM274
nicrnt_c,metanetx.chemical:MNXM194
dgtp_c,metanetx.chemical:MNXM344
dudp_c,metanetx.chemical:MNXM572
datp_c,metanetx.chemical:MNXM286
ncam_c,metanetx.chemical:MNXM216
dmbzid_c,metanetx.chemical:MNXM50981
5prdmbz_c,metanetx.chemical:MNXM1224
quln_c,metanetx.chemical:MNXM555
sbzcoa_c,metanetx.chemical:MNXM1132
xtsn_c,metanetx.chemical:MNXM687
thymd_c,metanetx.chemical:MNXM420
dgsn_c,metanetx.chemical:MNXM647
pppi_c,metanetx.chemical:MNXM332
no2_c,metanetx.chemical:MNXM107
ohpb_c,metanetx.chemical:MNXM1514
2ohph_c,metanetx.chemical:MNXM1635
2omph_c,metanetx.chemical:MNXM1707
2ombzl_c,metanetx.chemical:MNXM5484
2ommbl_c,metanetx.chemical:MNXM1899
orot5p_c,metanetx.chemical:MNXM519
2oph_c,metanetx.chemical:MNXM1886
thmpp_c,metanetx.chemical:MNXM256
ssaltpp_c,metanetx.chemical:MNXM91306
pro-L_c,metanetx.chemical:MNXM114
phaccoa_c,metanetx.chemical:MNXM502
pnto-R_c,metanetx.chemical:MNXM89882
ugmda_c,metanetx.chemical:MNXM88442
uagmda_c,metanetx.chemical:MNXM2264
trdrd_c,metanetx.chemical:MNXM1501
trdox_c,metanetx.chemical:MNXM148
pdx5p_c,metanetx.chemical:MNXM454
pydxn_c,metanetx.chemical:MNXM419
peamn_c,metanetx.chemical:MNXM660
peEC_c,metanetx.chemical:MNXM3082
tagdp-D_c,metanetx.chemical:MNXM1324
3php_c,metanetx.chemical:MNXM541
2pglyc_c,metanetx.chemical:MNXM2074
pgpEC_c,metanetx.chemical:MNXM871
phe-L_c,metanetx.chemical:MNXM97
